APPL_ID,PERIOD_TYPE_CODE,APPL_PERIOD_NUM,CAN,FSR_SEQ_NUM,PROG_CLASS_CODE,PHS_ORG_CODE,CREATOR_ID,CREATED_DATE,LAST_UPD_ID,LAST_UPD_DATE,AWARDED_DIRECT_COST_AMT,AWARDED_INDIRECT_COST_AMT,AWD_TYPE_CODE,DEOBLIGATION_AMT,FY,FEE_AMT,JOINT_FUNDING_CR_AMT,TOTAL_AWARDED_AMT,UNOBLGTD_BAL_AMT,FRACTIONAL_CREDIT_PCT,LEGACY_SOURCE_FUNDING,TOTAL_OBLGTD_AMT,SOURCE_CODE_DC,ADJUSTMENT_AMT
9342956,IPA,7,8012796,,I112SC,GM,LINK_OD_DQ,2017-10-12 11:16:52.0,,,1489379,886321,,,2017,0,,2375700,0,0,,0,PUB2017,
9337244,IPA,8,VCX0001,,CXFOST,CX,LINK_OD_DQ,2017-10-12 11:16:52.0,,,150000,,,,2017,,,150000,,0,,0,PUB2017,
9357717,IPA,22,8022557,,72-NBM,MH,LINK_OD_DQ,2017-10-12 11:16:52.0,,,250000,161250,,,2017,,,411250,0,0,,0,PUB2017,
9285599,IPA,7,8472493,,1 A,AR,LINK_OD_DQ,2017-10-12 11:16:52.0,,,287446,19716,,,2017,,,307162,,0,,0,PUB2017,
9297316,IPA,13,8014707,,GHDB -LH,HD,LINK_OD_DQ,2017-10-12 11:16:52.0,,,315000,25200,,,2017,0,,340200,0,0,,0,PUB2017,
9529432,BUD,17,C96J610,,,SM,LINK_OD_DQ,2017-10-12 11:16:52.0,,,2183222,,,,2017,,,2183222,,,,,PUB2017,
9314358,IPA,5,8472315,,M63C BR,AI,LINK_OD_DQ,2017-10-12 11:16:52.0,,,2282499,298963,,,2017,,,2581462,,0,,0,PUB2017,
9307829,IPA,8,8469976,,6Y87C00L,ES,LINK_OD_DQ,2017-10-12 11:16:52.0,,,248800,17563,,,2017,,,266363,,0,,0,PUB2017,
9461732,WCOM,5,8475150,,LLLJAN,HL,LINK_OD_DQ,2017-10-12 11:16:52.0,,,26844,14362,,,2020,0,,41206,0,,,,PUB2017,
9307853,IPA,20,8474221,,T1MSMS,GM,LINK_OD_DQ,2017-10-12 11:16:52.0,,,718056,33451,,,2017,,,751507,,0,,0,PUB2017,
9293277,IPA,3,8472276,,DKA INFL,DK,LINK_OD_DQ,2017-10-12 11:16:52.0,,,225000,132750,,,2017,0,,357750,0,0,,0,PUB2017,
9307714,IPA,2,K72BE60,,CQUIPS,HS,LINK_OD_DQ,2017-10-12 11:16:52.0,,,33112,16887,,,2017,0,,49999,0,0,,0,PUB2017,
9326990,IPA,9,8472277,,NAS LITA,DK,LINK_OD_DQ,2017-10-12 11:16:52.0,,,217500,103056,,,2017,0,,320556,0,0,,0,PUB2017,
9307776,IPA,19,8472293,,KTB HTR,DK,LINK_OD_DQ,2017-10-12 11:16:52.0,,,374314,23777,,,2017,,,398091,0,0,,0,PUB2017,
9394709,BUD,1,8014708,,,HD,LINK_OD_DQ,2017-10-12 11:16:52.0,,,39053,,,,2017,,,39053,,,,39053,PUB2017,
9377326,COM,2,8023357,,M52A B,AI,LINK_OD_DQ,2017-10-12 11:16:52.0,,,125000,89086,,,2018,,,214086,0,,,,PUB2017,
9292045,IPA,3,8479567,,F2BP,CA,LINK_OD_DQ,2017-10-12 11:16:52.0,,,314699,171456,,,2017,,,486155,,0,,0,PUB2017,
9371840,COM,2,8020115,,3BFBRBW,AG,LINK_OD_DQ,2017-10-12 11:16:52.0,,,92891,7431,,,2018,,,100322,0,,,,PUB2017,
9316197,BUD,1,8022575,,A3-NSI,MH,LINK_OD_DQ,2017-10-12 11:16:52.0,,,550738,198992,,,2017,0,,749730,0,,,749730,PUB2017,
9313990,BUD,1,8472481,,6 A,AR,LINK_OD_DQ,2017-10-12 11:16:52.0,,,117650,9412,,,2017,,,127062,,,,127062,PUB2017,
9313990,COM,2,8472481,,6 A,AR,LINK_OD_DQ,2017-10-12 11:16:52.0,,,117650,9412,,,2018,,,127062,,,,,PUB2017,
9370601,BUD,1,8472430,,,NS,LINK_OD_DQ,2017-10-12 11:16:52.0,,,174473,13958,,,2017,,,188431,0,,,188431,PUB2017,
